filepath,title
0,A herd of mostly white cows in a field with some trees.
1,People standing on the sand near surfboards and the water.
2,Surfer riding out end of wave with large breaking wave in background.
3,A group of people are sitting on the beach shore.
4,"A bathroom with a toilet, shower stall, sink and a mirror."
5,Pair of Zebras enjoying quiet time in zoo setting.
6,A small bird on an orange chair back.
7,Four cranes at a dock next to the ocean.
8,A row of numbered coin meters on a side walk.
9,A neat bedroom pairs modern chairs with a glass table.
10,A room with a large white bed and a wooden rocking chair.
11,The cat sits behind the laptop with a strange look on its face.
12,A baseball player is runnign bases in order to score.
13,A cat that is laying next to a keyboard and monitor.
14,"The tip of a horses head can be seen and beyond that is a busy, little lane with cars and shops."
15,There is a large American flag hanging above a clock. 
16,A man is standing in front of an easel making a painting.
17,a woman taking a picture of herself bushing her teeth
18,a bowl of tomato soup with two grilled cheese sandwiches on a plate 
19,"A flower pot with cards, and wine in top of a table."
20,A baseball player pitching a baseball on top of a field.
21,a motorcycle that is parked beside the road
22,The two baseball players are talking with each other
23,A giraffe eating near a tree in the sunlight. 
24,A pair of bare feet standing on a skateboard.
25,A young man sitting on a bench working on a laptop.
26,Group of people playing a game of baseball on a sports field. 
27,a bunch of peope at a really long tasble eating
28,An airplane sits at the airport waiting to be loaded.
29,a father and his two daughters which are holding stuffed animals
30,A bunch of vegetables that are sitting in a bowl.
31,An airplane is seen flying over several trees.
32,A train speeds down the tracks as smoke shoots out the top.
33,A person is floating on a surf board in the middle of the ocean.
34,"This is a hot dog with tomato, mustard, onion, relish, and pickle on it."
35,A blue jet airliner flying over a city.
36,A man wearing eye glasses is staring at the camera in front of a room.
37,The old kitchen and the table in it are furnished from wood.
38,Closeups of hands holding a plate of cake.
39,Someone is taking notes or an open book test on the computer.
40,two woman in a hallway holding teddy bears
41,A pizza with green peas and carrots on top on a table.
42,A fighter jet waiting to take off on a runway.
43,Four donuts topped with icing displayed on metal trays.
44,A large galley kitchen with tile floors 
45,A man is standing in front of an easel making a painting.
46,Two people are on horses on a beach.
47,A woman is smiling and holding a banana.
48,Sets of beach loungers under straw umbrellas on a beach
49,Three computer monitors are sitting on the desk.
50,A teddy bear with a polka dot bow tie sitting on a bed. 
51,"An old, run down city bus sits parked, with rust."
52,A skier in the air over a jump.
53,An adorable cat with blue eyes wearing a knitted hat.
54,Dog close up in front of tv in room with candles
55,A clock on a brightly colored and patterned tile wall.
56,there are many boats docked in the water
57,A stop sign on the corner of the street
58,Cars are parked on the side of a street lined with brick buildings.
59,Two zebras in the wild graze in a grassland scattered with low trees.
60,Three black ducklings walk in a reed-filled pond.
61,The vegetables are laying on the paper towel.
62,There are two toilets that are open and clean.
63,A clock on the side of the steeple of a church.
64,A man in white holding two trays of pizza
65,an image of two elephants with sharp tusks
66,some pink thing with holes and bead chains
67,A train traveling along side a river with a patch of green grass.
68,A man in white holding two trays of pizza
69,>> A surfer rides a wave on his surfboard. 
70,A cell phone that is next to a picture of an apple.
71,A cat that is sitting on a car.
72,A cat lounging on the couch watching television
73,A small dog sits up in a car seat.
74,An old picture of a train going through a grassy field.
75,A couple of large boats in the water.
76,A cow laying in hay in a stall.
77, The lady is taking a picture while holding water.
78,Giraffe in enclose eating from a mesh box suspended out of high window.
79,A man with a backpack standing in a large open room
80,An airplane is parked in front of a large building. 
81,A man wearing a turban is typing on his computer. 
82,The bicyclist is riding with a large skull mask on. 
83,a group of birds are seen together in the grass
84,There is a group of people playing tennis on a court. 
85,"The train is stopped, and the doors are open."
86,A close up of a dog laying on a bed next to a book.
87,"A mother, child, and dog pose near a garden."
88,"Two big fancy clocks sit on the wall of a large, fancy building. "
89,There are two couches in the room near the mirror. 
90,A large galley kitchen with tile floors 
91,A large white and red city bus stopping at a park.
92,A railroad train traveling down the tracks on  a hillside
93,Cars going through the traffic lights near a handicap bus stop.
94,A blue bus parked next to a tree with a wooden roof on top of it.
95,A group of men riding skateboards on top of a skateboard ramp.
96,A man holding a lemon of a metal container with a strainer.
97,A silver fire hydrant on a neighborhood street.
98,People are gathered around a bunch of cows.
99,"A vase with flowers, cup, pitcher and mug sitting on a table "
100,An elephant standing in the grass on a sunny day. 
101,A skateboard is on a sidewalk near a fire hydrant and mounds of snow.
102,Three people smile hugging in front of a city bus.
103,A woman with one leg in the air is holding a white Frisbee.
104,This scene from the 1930s shows busses on a city street.
105,a red and white helicopter with two people inside landing on the ground.
106,A giraffe standing next to a stone wall.
107,an image of two elephants with sharp tusks
108,A motorcycle parked on a beach at sunset.
109,A fire engine traveling through a busy street.
110,A man holding a puppy on a boat.
111,Bicycle riding is a good way to get around town.
112,A plane sitting on the ground on top of a runway.
113,"A man is sitting on a motorcycle, wearing a jacket."
114,Three slices of pizza sitting on paper plates.
115,A man is taking a picture in a mirror. 
116,Two bowls with chop sticks sitting on them sitting on a table next to several plates of food.
117,A pizza with all multiple veggie toppings missing several slices sits on a table.
118,A cat sitting on a window sill next to a window.
119,A MASSIVE TRAIN GOING THROUGH A TUNNEL STATION
120,There is a baseball game on and a player is at bat
121,a red and white helicopter with two people inside landing on the ground.
122,a little red tabke with a plate on it in the bathroom 
123,a bowl of tomato soup with two grilled cheese sandwiches on a plate 
124,A snowboarder performing a jump off a hillside.
125,There are candles in a pink birthday cake.
126,There is no image on the screen to describe.
127,rows of motorcycles a parked along a street
128,A dinner in three bowls on a plate.
129,A group of deserted cars in a desert like area. 
130,A boy swings a bat outside on the grass.
131,A man is sitting on a bench and is standing a toddler girl on her feet. 
132,A river runs by a large office building with two clock towers.
133,a tree ornaments lights beads and some decorations
134,A man with a tennis racket and tennis ball in the air.
135,There is a row of kitchen cabinets with a microwave with it
136,A woman holding an umbrella walks alone in the rain.
137,Several people on surfboards who are riding a wave.
138,A very small white bathroom with black tile floor.
139,People flying huge kites in the sand at the beach.
140,Multiple fruit sitting in a bowl on top of a table.
141,A man and woman playing tennis while holding their tennis rackets.
142,There is a dog with a Frisbee in his mouth.
143,an image of a horse in a coral barn
144,A wooden table with two plates of breakfast foods.
145,A kitchen with cement walls and a curtain over the entry way of the door. 
146,A young man snowboarding down a snow covered street.
147,Assortment of kitchen tools on display near sink.
148,A kitchen with cement walls and a curtain over the entry way of the door. 
149,A person on a skateboard in the air doing a trick.
150,Two young giraffes are playing by a small ravine
151,The man in the red tie is putting on his glasses.
152,A clean bathroom with a nice shower curtain and toilet
153,An adorable cat with blue eyes wearing a knitted hat.
154,People are gathered around a bunch of cows.
155,Two giraffes are in a field with trees on a sunny day.
156,"A bathroom with a shower, toilet, and sink. "
157,Kids in red little league uniforms on baseball field.
158,A person is riding a jet ski in wavy waters.
159,A red double decker bus sits parked down from a red phone booth.
160,The pizza sitting on the pizza paddle has chicken on it.
161,"A bathroom with a sink, toilet and shower stall."
162,Brown and white dog laying down with white cat under his chin.
163,A ski slope is occupied by a skier and some leafless trees.
164,A girl jumps a horse over an obstacle.
165,A skateboarder at the top of an outdoor half pipe.
166,Someone is holding a grey remote control near a blanket.
167,an image of kids on their laptops smiling
168,Orange cat sitting on bench outside in sun.
169,There is a toilet and a bathtub inside a bathroom.
170,A loft has two beds with plaid patterned bed spreads.
171,A young man setting on a surfboard on the beach watching the waves.
172,A young man setting on a surfboard on the beach watching the waves.
173,A bathroom sink and mirror with a phone on the wall.
174,a man lays in the ocean with an umbrella
175,A woman stands in the forefront with some livestock behind her in a field near a house on the ocean.
176,A man riding a skateboard through orange cones.
177,two men and one is reaching up to catch a frizbee
178,A bathroom with a rotten bathtub next to a blue toilet.
179,A freight train is passing through an intersection.
180,Cars are parked on the side of a street lined with brick buildings.
181,a pair of pet bowls on a mat is next to a screen
182,A man starts to eat dinner from a white plate.
183,A female tennis player in action on the court.
184,An oven and stovetop sitting on a table in the back yard.
185,Three dairy cows in a grassy paddocks fenced by bushes.
186,A man is skateboarding on a brick sidewalk.
187,A large white and red city bus stopping at a park.
188,A bathroom sink and mirror with a phone on the wall.
189,A blue jet airliner flying over a city.
190,a batter hitting a ball while the catcher watches him
191,A baseball player pitching a baseball on top of a field.
192,a female surfer is seen riding a wave
193,close up of a bench near a bush with flowers
194,three people standing holding surf boards on a beach
195,A bus drives near to a large clock tower.
196,A man is skateboarding on a brick sidewalk.
197,The planes are lined up in the field. 
198,a surfer on a yellow and red board is surfing
199,A herd of animals are all drinking water near the green grass. 
200,A horseback rider hugging their horse after a ride.
201,A striped cat laying on a wooden bench
202,A bus stop with sun shades and a parked bus.
203,A man takes a picture of his reflection in a mirror. 
204,a blue truck with a few veterans and american flags in the back
205,A baseball player with a glove on during a game. 
206,The man is enjoying his meal sitting at the table.
207,Four women stand on the beach with their umbrellas.
208,A woman in a green tank top holds a pink Frisbee.
209,A man that is standing under an umbrella.
210,a woman sits on a bed in front of a window
211,A large doubledecker red bus driving down the road.
212,a pair of pet bowls on a mat is next to a screen
213,A woman with one leg in the air is holding a white Frisbee.
214,a bathroom with a sink and a toilet
215,A little boy is doing a skateboard trick.
216,A desk in a classroom with a blackboard behind it
217,A row of bikes parked next to each other.
218,A herd of zebra on a grassy field.
219,The two baseball players are talking with each other
220,A food item has tomatoes and dough and herbs.
221,A baby got into a little refrigerator and is trying to drink a soda from the can.
222,"Two big fancy clocks sit on the wall of a large, fancy building. "
223,A hamburger covered in cheese and veggies and a bun.
224,A man is sitting on a bench and is standing a toddler girl on her feet. 
225,Two men sitting next to each other in front of a brick wall.
226,rows of motorcycles a parked along a street
227,The view from a passenger bus in the side view mirror.
228,two surfers in wet suits and one is riding a wave on his stomach
229,A pizza with green peas and carrots on top on a table.
230,A chef at a pizzeria behind the counter
231,A man and a boy are in a field flying a kite.
232,A stop sign on the beach with water in the background.
233,young boy playing baseball and holding a baseball glove
234,A brown wooden entertainment centers is holding a large television.
235,A young adult is standing in the snow with some type of stick.
236,One cake doughnut and one doughnut topped with icing
237,"A dining room, with a dinner table and several other chairs in it."
238,A crowd of people standing around a train station.
239,"A statue of clowns riding a tandem bike,"
240,Two elephants standing next to each other on a grassy field next to a tree.
241,Multiple fruit sitting in a bowl on top of a table.
242,a lady reading a book sitting on a bench
243,A group of men standing on a field playing baseball.
244,An old rusted truck sitting on the side of the road.
245,A person with red umbrella waiting to cross pavement.
246,A cat sitting on top of a window sill looking out a window.
247,A man on a skateboard leaping over flowers
248,An airplane is parked in front of a large building. 
249,A vase that has flowers sitting on a piano.
250,a few people riding motorcycles on a raod
251,A bird is shown standing on the sand.
252,a pole with a bunch of signs on  it 
253,Woman playing tennis ready to serve the ball.
254,Several people waiting in line at a sidewalk vendor.
255,There is a microwave that is on the counter top
256,A gray cat looking at itself in the mirror.
257,two dogs sitting outside one is wearing a hat
258,A white polar bear walking across a rock hillside.
259,A man in a wet suit is surfing on the ocean.
260,A toilet paper dispenser on a tiled wall next to a toilet
261,A person does a trick on their snowboard on a mountain
262,Two trains are side by side at a loading station.
263,"A dining room, with a dinner table and several other chairs in it."
264,A person with red umbrella waiting to cross pavement.
265,A kitchen with cement walls and a curtain over the entry way of the door. 
266,an aerial view of a river with some piers in the middle.
267,A table full of plates and bowls of food.
268,A skateboarder maneuvers around small traffic cones on his skate board
269,A large commercial passenger plane taxis at an airport.
270,A group of men standing on a field playing baseball.
271,A guy on a skate board on a ramp.
272,A zebra stands in his habitat in captivity.
273,a tall clock tower near a building 
274,A woman wearing a pink jacket holding two ski poles.
275,A bathroom sink with two round mirrors above with next to lights.
276,A row of umbrellas at the beach with people sitting in chairs.
277,A giraffe is resting in its habitat in the zoo.
278,A red double decker bus sits parked down from a red phone booth.
279,A border collie with tongue hanging out stares at an approaching Frisbee.
280,There is no image on the screen to describe.
281,"A man and his jeep on a beach watching people flying kites
"
282,a batter hitting a ball while the catcher watches him
283,A bathroom sink with two round mirrors above with next to lights.
284,A man driving a green motorcycle down the road.
285,A herd of animals are all drinking water near the green grass. 
286,A beautiful bathroom sink with a person taking a photo in the mirror.
287,A beautiful bathroom sink with a person taking a photo in the mirror.
288,an image of two elephants with sharp tusks
289,"A giraffe standing in the dirt near trees and rocks
"
290,A man holding a tennis racquet next to a tennis ball.
291,Three modern looking urinals up against a wall.
292,A corner of a rest room with a shower with glass walls.
293,A tower reminiscent of the Eiffel Tower is seen in this city
294,a pair of pet bowls on a mat is next to a screen
295,A bus stop sign on the side of the road.
296,"a couple , each holding on to the same knife slicing a cake"
297,A man in a wooded area standing next to a disc golf goal.
298,A public bus riding down a wet street.
299,A small turtle crawling into a bowl of food.
300,many people gathered on a sunny day flying kites
301,Two toddlers eating at a child's table with a dog watching them.
302,A pen of sheep has attracted some visitors.
303,A green passenger train crossing a bridge over water
304,A zebra and some giraffes near a cliff.
305,Two people in their skiing gear are on the snow and posing for the camera. 
306,A slice of pizza sitting on a plate next to a garnish.
307,A group of various electronics and planners laid out.
308,A white toilet sitting in a stone room next to lumber.
309,Two men are riding horses on green grass
310,A group of men riding skateboards on top of a skateboard ramp.
311,Four women stand on the beach with their umbrellas.
312,"People in the ocean holding onto kites, while they are on boards."
313,Some men playing in an indoor tennis court
314,A vase with an octopus design sits between two other vases. 
315,a child in a wagon with many green apples
316,A person riding a wave on top of a white surfboard.
317,A sheep is standing in the grass on a nice day.
318,A street pole at the corner of Stillwell and Mermaid Avenue with a crossing light on the sign.
319,A picture of a plane in a runway.
320,"The train is stopped, and the doors are open."
321,A small plane that is parked in a hanger. 
322,A train museum inside of a large building 
323,Two elephants standing next to each other on a dirt road.
324,A herd of cattle grazing on some grass.
325,A rainbow of kayaks arrayed on the sand flats at the water's edge.
326,"a long table where people are eating, is covered in plates holding different types of pizzas."
327,A surfer holding a surfboard and standing in the water.
328,A young man setting on a surfboard on the beach watching the waves.
329,A stainless steel refrigerator is between cabinets in a kitchen.
330,A bathroom sink underneath a mirror and tooth brushes.
331,a stop sign attached to the corner of a building 
332,A man adjusts the mirror on his motorcycle.
333,People flying huge kites in the sand at the beach.
334,Bright lights on a city street and cars.
335,A row of plants with a circular vase around each.
336,A person in a purple shirt standing on a couch playing wii
337,A white cat is laying on a laptop computer.
338,A man leaning back on a white couch with a Wii game controller in his hands.
339,An old style prop plane flying low near a beach.
340,A man reading something on his cell phone.
341,New York street sign showing Broadway and West 122nd Street
342,A skateboard is on a sidewalk near a fire hydrant and mounds of snow.
343,An audience is looking at an film of a man taking that is projected onto a wall. 
344,A woman on a laptop typing on the keyboard 
345,A counter top with glasses and bottles containing alcohol.
346,The bicycles are lined up in a neat row.
347,A white kitchen with large cupboards and a tiled counter.
348,A skier balancing on top of an orange elevated pipe on a downhill slope
349,a woman clips her babies finger nails off
350,A man on a motorcycle carrying a bundle of long sticks.
351,A flock of sheep are grazing in a grassy field.
352,close up of a bench near a bush with flowers
353,A clock on a brightly colored and patterned tile wall.
354,A black cat looking up while lying on a suitcase.
355,A skateboarder at the top of an outdoor half pipe.
356,there is a very large blue plane at this airport
357,The front of modern commuter trains at the station
358,Many sheep are grazing on a green pasture.
359,A lone zebra grazing on a lush green hillsided
360,a close up of a vase with many different flowers in it
361,A person with red umbrella waiting to cross pavement.
362,A herd of zebra on a grassy field.
363,A bathroom sink underneath a mirror and tooth brushes.
364,A young girl opening a stainless steel fridge. 
365,"A couch, chair, and suitcase sitting on the curb."
366,A giraffe wanders near a vehicle in an animal park.
367,Marble tiling around the bathroom sink that's below the mirror
368,Multiple fruit sitting in a bowl on top of a table.
369,A man is sitting on a bench and is standing a toddler girl on her feet. 
370,A beverage cooler and counter area in a small store.
371,Happy First Birthday cake on edge of kitchen counter. 
372,An old rusted truck sitting on the side of the road.
373,A man standing on a tennis court holding a racquet.
374,A person on a skateboard in the air doing a trick.
375,A person in a purple shirt standing on a couch playing wii
376,Red shoes sitting inside a suitcase with red lining. 
377,A man with a long beard and hair walks along the beach carrying a surfboard
378,A close up of a dog laying on a bed next to a book.
379,Guy leans over as he rides the surfboard behind the boat
380,Two skiers with helmets on are skiing down the hill.
381,A cow laying in hay in a stall.
382,Man on surfboard tackling wave in open ocean.
383,The bicyclist is riding with a large skull mask on. 
384,The four dark brown cows are standing together.
385,Machinery being placed onto a tow truck 
386,a child in a wagon with many green apples
387,Many sheep are grazing on a green pasture.
388,There is a toilet and a bathtub inside a bathroom.
389,"A barbecue grill is covered with foil, difficult to make out details."
390,A woman stands in the forefront with some livestock behind her in a field near a house on the ocean.
391,Orange cat sitting on bench outside in sun.
392,A tall brown brick building stands next to other buildings.
393,A man reading something on his cell phone.
394,"Young baseball batter at home plate, waiting for a pitch."
395,A base ball player runs towards home base.
396,A red and black microwave sitting on top of a refrigerator freezer.
397,A motorcycle parked by a Moorish building with bright blue stools.
398,A giraffe standing under a tree in the tall grass of the savannah.
399,A man near a desk with a dog on his lap
400,Man on surfboard tackling wave in open ocean.
401,"A living room with a couch, chair, table and lamp. "
402,A city street showing traffic at a stoplight intersection 
403,Several people eating dinner at tables in a conference room.
404,A giraffe standing under a tree in the tall grass of the savannah.
405,A motorcycle parked by a Moorish building with bright blue stools.
406,A large wooden clock in a small room.
407,a photo of a kitchen with a fridge and oven and table
408,Man on surfboard tackling wave in open ocean.
409,A public bus riding down a wet street.
410,This is a cute dog sticking his head out of the window of a red car.
411,People are sitting at desks working on computers.
412,A group of baseball players are playing baseball while a crowd looks on. 
413,A man and woman posing on and by a chair.
414,a man holding onto a red umbrella as he stands by a fence 
415,Guy leans over as he rides the surfboard behind the boat
416,a close up of a toilet with the lids closed 
417,Two women playing a video game in a messy room with bags and trash on the floor.
418,an image of a horse in a coral barn
419,A guy on a skate board on a ramp.
420,A giraffe eating near a tree in the sunlight. 
421,a batter standing next to the plate holding a bat
422,The view of an airport runway from a distance.
423,A young girl opening a stainless steel fridge. 
424,A fried fish sandwich on a hoagie roll with toppings and fries on the side.
425,A cow tied to a rope is eating hay
426,A cow tied to a rope is eating hay
427,a close up of a vase with many different flowers in it
428,The sheep are grazing through the snow covered meadow. 
429,Several office chairs lined up against a wall in a bare room.
430,A snow covered hill with a bird house.
431,a formation of fighter jets flying by in the air
432,two men and one is reaching up to catch a frizbee
433,Two tupperware containers full of two different kinds of food. 
434,Dog staring off at something while sitting on the bed.
435,Two girls in dresses standing with an umbrella.
436,A naval ship with three small boats full of military people.
437,A row of umbrellas at the beach with people sitting in chairs.
438,Several people on snow skis who are racing.
439,A table full of plates and bowls of food.
440,Bicycles are often a faster way to get around downtown than automobiles.
441,A young woman is standing under balloon arch singing with a microphone and man is standing next to her raising a glass in the air. 
442,Two athletes are standing in a playing field.
443,A road is closed with a sign and road cones.
444,A man with glasses on holding a cell phone up.
445,many people gathered on a sunny day flying kites
446,Black and white photo of group of people with some holding tennis rackets
447,Three dairy cows in a grassy paddocks fenced by bushes.
448,A man in a wheelchair shakes the hand of a boy in an orange cap with a skateboard at his feet.
449,There are candles in a pink birthday cake.
450,a zebra is laying down in a field
451,A large doubledecker red bus driving down the road.
452,A guy riding a bike and carrying a surfboard turns to look behind. 
453,A large wooden clock in a small room.
454,Two top halve of two giraffes walking in trees.
455,Two smiling women are drinking shots at a table.
456,One cake doughnut and one doughnut topped with icing
457,A large commercial passenger plane taxis at an airport.
458,A man is holding a plate of birthday cake.
459,Red shoes sitting inside a suitcase with red lining. 
460,"A sandwich, fries, and pickles sit on a lunch plate."
461,a bathroom that has a small little toilet in it
462,A gray cat looking at itself in the mirror.
463,"A woman enjoying, what looks like, a delicious and well balanced meal."
464,A young man snowboarding down a snow covered street.
465,The dishes have been washed and the dish towels are hanging neatly on the cupboards.
466,A man jumping up on a blue tennis court with a black tennis racket in his hand. 
467,a desk with a key board a laptop and a monitor
468,A double high bus that is sitting in the street.
469,A photo of the top building looking at the weather vane.
470,A man standing on a tennis court holding a racquet.
471,a man and a little boy walking on a park
472,A very nice large modern style kitchen with a bar.
473,The large boats are bring people into the harbor. 
474,A regal horse is part of the beauty of a mountain scene.
475,A double decker bus sits in a dirt lot.
476,Three people are waiting in a wooded place.
477,A black cat looking up while lying on a suitcase.
478,"A woman wearing glasses holding up a Vidal Sassoon Blow Dryer, while her hair flies to the side."
479,A dog enjoying playing on the beach in the sun
480,A man jumping up on a blue tennis court with a black tennis racket in his hand. 
481,Two athletes are standing in a playing field.
482,A man stands ready to field the ball in a baseball game
483,A wooden deck with a parking meter on it's corner.
484,The shop has many flowers and baskets of fruit.
485,A desk in a classroom with a blackboard behind it
486,A slice of cheesecake on a plate with a fork.
487,Two young giraffes are playing by a small ravine
488,A fried fish sandwich on a hoagie roll with toppings and fries on the side.
489,One cake doughnut and one doughnut topped with icing
490,a male snow skier in a red jacket snow and clouds
491,A base ball player runs towards home base.
492,A tower reminiscent of the Eiffel Tower is seen in this city
493,A woman with one leg in the air is holding a white Frisbee.
494,A little boy that is holding an umbrella.
495,The bride and the groom are cutting the wedding cake.
496,A quiet city street reflecting an early morning.
497,Pink lunchbox filled with fruit and vegetables and snacks.
498,A woman cross country skiing the dog outside her home
499,Colorful Japanese parasols of silk painted with birds and flowers.
500,a male snow skier in a red jacket snow and clouds
501,A flock of sheep are grazing in a grassy field.
502,A public bus riding down a wet street.
503,A toilet paper dispenser on a tiled wall next to a toilet
504,"A smaller public bathroom, with a baby station, mirror, and towel dispenser. "
505,There is a youth soccer game on the field.
506,Four women stand on the beach with their umbrellas.
507,A large black dog walking across a gravel field with an orange frisbee in it's mouth.
508,Two tupperware containers full of two different kinds of food. 
509,Several lined up motorcycles in a city street.
510,A dressed uneaten hot dog sitting on paper.
511,People shopping at a busy fruit market with yellow signs displaying the prices for each fruit. 
512,A pen of sheep has attracted some visitors.
513,close up of a bench near a bush with flowers
